"Type","TypeDesc","ErrorCode","Filename","LineNumber","DateTime","ComputerName","UserName","Message"
3,"Default",0,"iaguipluginsiteimpl.hpp",50,01/15/2018 18:21:02,"ACEDESK3","sjones","QualNet Interface:  Unable to find registry information or the QUALNET_HOME environment variable for the QualNet install."
1,"Default",0,"iaguipluginsiteimpl.hpp",50,01/15/2018 18:21:02,"ACEDESK3","sjones","QualNet Interface:  Loading QualNet UI xml files from ""C:\Program Files\AGI\STK 11\STK-QualNet Interface\QualNetUI\gui\settings""."
3,"Default",0,"iaguipluginsiteimpl.hpp",50,01/15/2018 18:21:03,"ACEDESK3","sjones","QualNet Interface:  The executable (qualnet.exe) could not be found in the install location.  Make sure there is a valid install of QualNet on the current machine."
1,"Default",0,"",0,01/15/2018 18:21:11,"ACEDESK3","sjones","Version 11.3.0 of STK is now available online."
1,"MsgWnd",1,"",0,01/15/2018 18:21:21,"ACEDESK3","sjones","Shaders not supported by current video driver.  Sun lighting and some imagery types are not supported for all map projections."
1,"MsgWnd",1,"",0,01/15/2018 18:21:21,"ACEDESK3","sjones","Frame buffer objects not supported by current video driver.  Imagery on perspective and orthographic projections are not supported."
4,"Default",0,"caggx3dterrainmgr.cpp",348,01/15/2018 18:21:21,"ACEDESK3","sjones","Full globe rendering requires OpenGL version 1.2 or greater; current version is 1.1.0; upgrade graphics card driver or card; only a single base texture will be rendered"
4,"Default",0,"caggx3dterrainmgr.cpp",362,01/15/2018 18:21:21,"ACEDESK3","sjones","Full globe rendering requires that the graphics card have at least two texture units; only a single base texture will be rendered"
3,"MsgWnd",0,"",0,01/15/2018 18:21:26,"ACEDESK3","sjones","Analysis Workbench license required to load custom time, calculation, vector geometry, or spatial components. Custom components ignored for WebsiteCZMLScenario."
2,"Default",0,"aggx3dgeomline.cpp",649,01/15/2018 18:21:33,"ACEDESK3","sjones","Lines on terrain require OpenGL 2.0 for Vertex Buffer Objects.  Upgrade your video driver or video card."
4,"Default",0,"aggx3dgeomline.cpp",688,01/15/2018 18:21:33,"ACEDESK3","sjones","Could not initialize lines on terrain. Drawing regular lines."
